influencer_id,followers,engagement_rate,niche,campaign_category,campaign_goal,budget_range,match_score,engagement_result
INF044,12084,3.57,lifestyle,food,awareness,high,0.21,4.06
INF021,63182,3.59,lifestyle,lifestyle,awareness,medium,0.74,5.12
INF021,63182,3.59,lifestyle,fitness,conversion,high,0.5,4.48
INF002,70771,3.86,food,food,conversion,high,0.88,5.57
INF007,7591,5.87,tech,lifestyle,awareness,medium,0.22,6.12
INF073,48438,2.51,fitness,food,awareness,high,0.31,3.03
INF032,86659,5.43,lifestyle,beauty,conversion,medium,0.39,6.08
INF058,55040,2.82,beauty,beauty,conversion,medium,0.89,4.61
INF123,12102,2.9,fitness,food,awareness,medium,0.29,3.36
INF102,11247,2.17,beauty,fitness,conversion,low,0.38,2.75
INF029,58084,5.46,tech,lifestyle,conversion,medium,0.43,6.45
INF117,61665,4.89,lifestyle,beauty,conversion,medium,0.57,6.02
INF007,7591,5.87,tech,beauty,awareness,low,0.56,6.81
INF022,56570,5.19,food,tech,conversion,high,0.3,5.66
INF021,63182,3.59,lifestyle,food,awareness,low,0.33,4.45
INF143,72134,2.65,tech,beauty,conversion,medium,0.26,3.02
INF139,49602,4.49,beauty,tech,conversion,medium,0.5,5.55
INF012,52873,3.31,beauty,food,conversion,high,0.52,4.39
INF081,64891,2.76,lifestyle,lifestyle,conversion,high,0.98,4.54
INF034,86076,2.49,tech,tech,awareness,high,0.91,4.13
INF032,86659,5.43,lifestyle,food,awareness,low,0.25,5.99
INF113,63476,4.5,lifestyle,lifestyle,conversion,medium,0.83,6.23
INF064,96171,3.98,lifestyle,food,awareness,low,0.53,5.14
INF111,69747,2.33,beauty,food,awareness,medium,0.31,2.87
INF039,48355,2.88,beauty,tech,conversion,low,0.31,3.63
INF128,93091,4.58,lifestyle,food,awareness,high,0.54,5.48
INF145,9870,5.34,tech,beauty,conversion,medium,0.41,6.26
INF145,9870,5.34,tech,food,awareness,low,0.3,5.98
INF062,73077,3.04,lifestyle,food,awareness,medium,0.53,4.02
INF102,11247,2.17,beauty,food,awareness,high,0.43,3.15
INF077,94691,3.91,lifestyle,fitness,conversion,low,0.36,4.53
INF001,92378,5.56,food,food,awareness,high,0.98,7.71
INF111,69747,2.33,beauty,lifestyle,conversion,medium,0.34,2.85
INF049,9866,3.96,lifestyle,beauty,conversion,medium,0.55,4.99
INF009,71973,5.84,beauty,tech,conversion,high,0.55,7.07
INF050,77184,4.59,lifestyle,food,awareness,low,0.55,5.88
INF128,93091,4.58,lifestyle,lifestyle,awareness,medium,0.84,6.23
INF039,48355,2.88,beauty,beauty,conversion,medium,0.83,4.66
INF061,50999,2.71,fitness,tech,conversion,medium,0.51,3.88
INF114,28737,4.3,lifestyle,lifestyle,conversion,medium,0.9,5.96
INF144,5848,5.77,beauty,food,awareness,medium,0.3,6.38
INF078,22635,2.38,food,food,conversion,high,0.73,3.96
INF139,49602,4.49,beauty,food,awareness,high,0.36,5.05
INF031,97098,4.86,food,beauty,conversion,medium,0.32,5.66
INF079,26478,4.03,lifestyle,tech,conversion,low,0.54,5.2
INF029,58084,5.46,tech,tech,conversion,medium,0.98,7.5
INF013,99547,5.3,food,lifestyle,conversion,high,0.49,6.39
INF145,9870,5.34,tech,lifestyle,conversion,medium,0.22,5.72
INF113,63476,4.5,lifestyle,lifestyle,conversion,medium,0.88,6.34
INF032,86659,5.43,lifestyle,lifestyle,conversion,medium,0.83,6.94
INF150,8597,4.78,tech,food,awareness,medium,0.57,6.07
INF145,9870,5.34,tech,fitness,conversion,low,0.31,5.77
INF134,80101,3.87,lifestyle,tech,conversion,medium,0.54,4.82
INF128,93091,4.58,lifestyle,fitness,awareness,low,0.49,5.43
INF148,67609,4.85,food,tech,awareness,high,0.49,5.77
INF139,49602,4.49,beauty,lifestyle,awareness,medium,0.31,5.19
INF093,35585,5.04,lifestyle,lifestyle,conversion,high,0.88,6.86
INF022,56570,5.19,food,fitness,conversion,low,0.45,6.19
INF033,14510,2.26,lifestyle,tech,awareness,high,0.33,2.78
INF039,48355,2.88,beauty,food,awareness,medium,0.44,3.81
INF033,14510,2.26,lifestyle,food,awareness,low,0.48,3.09
INF088,71457,5.47,food,tech,conversion,high,0.59,6.6
